Reference	Reference DOI	Locality	Region	Sample ID	Type	Depth (m)	Sal (PSU)	T (C)	pH	Be (nmol/kg)	Be dissolved (nmol/kg)	Be colloidal (nmol/kg)	DOC (nmol/kg)	Alkalinity (mM HCO3)	Notes
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St1	Estuary	0	0	13.5	8	0.054	0.049	0.0047			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St3	Estuary	0	0.7	12.7	8.1	0.055	0.052	0.0034			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St2	Estuary	0	1.2	12.2	8	0.053	0.05	0.0031			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St4	Estuary	0	2	12.9	8.1	0.062	0.057	0.0044			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St5	Estuary	0	2.9	13	8	0.065	0.06	0.0049			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St6	Estuary	0	4.3	13	8	0.067	0.062	0.0057			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St7	Estuary	0	5.6	14.1	8.1	0.066	0.068	0.0*			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St8	Estuary	0	7	14.4	8.1	0.065	0.063	0.002			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St9	Estuary	0	8.9	14.7	8.1	0.065	-	-			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St10	Estuary	0	10	14.3	8.1	0.065	0.062	0.0027			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St11	Estuary	0	12.5	14.1	8.1	0.064	0.065	0.0*			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St11.1	Estuary	1	14.5	14.3	8.1	0.064	-	-			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St11.4	Estuary	1.5	15.7	14.1	8.1	0.063	0.063	0.0008			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St11.3	Estuary	2	23.9	13	8.1	0.059	0.06	0.0*			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Zrmanja estuary, Croatia	Croatia	St11.2	Estuary	4	29.9	12.3	8	0.052	0.051	0.0002			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Loch Etive, Scotland	Scotland	Etive1	Estuary	0	0	17.5	7	0.61	0.14	0.48	2.4		
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Loch Etive, Scotland	Scotland	Etive2	Estuary	0	1.4	15.9	7.1	0.65	0.22	0.43			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Loch Etive, Scotland	Scotland	Etive3	Estuary	0	2.8	17.5	7.3	0.58	0.26	0.32			
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Loch Etive, Scotland	Scotland	3	Estuary	0.9	5.2	17	8.1	0.58	0.19	0.39	2.6		
Surhoff et al., 2019	10.1016/j.gca.2019.08.017	Loch Etive, Scotland	Scotland	1	Estuary	1	10.9	17.1	8.1	0.53	0.16	0.36	2.8		
